tag	zh_tw	zh	en
i18n_ServCloud_Fanuc_Data_Server	機台程式管理平台	机台程式管理平台	Machine Program Management
i18n_ServCloud_Fanuc_Log_Query	06 查詢加工程式日誌(上傳/刪除)	06 查询加工程式日志（上传/删除）	06 Query Process Program Log (Upload/Delete)

# 稼動
i18n_ServCloud_UtilizationStd	稼動管理	稼动管理	Utilization Rate Analysis
i18n_ServCloud_05_Alarm_Message	05 警示訊息	05 警示讯息	05 Alarm Message
i18n_ServCloud_05_Main_Axis_Efficiency_TH	05 主軸效率監控TH	05 主轴效率监控TH	05 Main Axis Efficiency TH
i18n_ServCloud_NC_Production_Progress	07 NC機台生產進度	07 NC机台生产进度	07 NC Production Progress
i18n_ServCloud_10_DailUtilization	10 日稼動率報表	10 日稼动率报表	10 Daily Utilization
i18n_ServCloud_10_DailUtilization_Enzoy	日稼動率報表	日稼动率报表	Daily Utilization
i18n_ServCloud_10_DailUtilization_Cosmos	10 日稼動率報表	10 日稼动率报表	01 Daily Utilization
i18n_ServCloud_10_daily_kuohwaoa	10 日稼動率報表	10 日稼动率报表	01 Daily Utilization
i18n_ServCloud_12_oee_cosmos	12 稼動率報表	12 稼动率报表	12 OEE Report
i18n_ServCloud_11_Amd	11 AMD	11 AMD	11 AMD
i18n_ServCloud_20_Monthly_Utilization	20 月稼動率報表	20 月稼动率报表	20 Monthly Utilization
i18n_ServCloud_20_monthly_kuohwaoa	20 月稼動率報表	20 月稼动率报表	20 Monthly Utilization
i18n_ServCloud_22_Monthly_Utilization	22 月稼動率報表	22 月稼动率报表	22 Monthly Utilization
i18n_ServCloud_20_Monthly_Utilization_Enzoy	月稼動率報表	月稼动率报表	Monthly Utilization
i18n_ServCloud_25_Yearly_Utilization	25 年稼動率報表	25 年稼动率报表	25 Yearly Utilization
i18n_ServCloud_26_Monthly_Utilization	26 月稼動率報表	26 年稼动率报表	26 Yearly Utilization
i18n_ServCloud_30_Product_Information	30 產品資訊	30 产品资讯	30 Product Information
i18n_ServCloud_30_Daily_Product_Info	30 詳細稼動率與產品資訊	30 详细稼动率与产品资讯	30 Detail Daily And Product Info
i18n_ServCloud_30_Edit_Quality_Cosmos	30 不良品數編輯	30 不良品数编辑	30 Edit Defective Quality
i18n_ServCloud_40_Edit_Idle_Cosmos	40 閒置編輯	40 闲置编辑	40 Edit Downtime
i18n_ServCloud_40_Customer_Management	40 客戶及品名設定	40 客户及品名设定	40 Customer Management
i18n_ServCloud_50_Product_Management	50 品名及加工程式對應設定	50 品名及加工程式对应设定	50 Product Management
i18n_ServCloud_60_Adapter_Params	60 擷取參數	60 撷取参数	60 Fetch Parameters
i18n_ServCloud_70_Machine_Status_History	70 機台歷史狀態查詢	70 机台历史状态查询	70 Machine Status History
i18n_ServCloud_10_DailUtilization_Anko	10 日稼動率報表(PLC)	10 日稼动率报表(PLC)	10 Daily Utilization(PLC)
i18n_ServCloud_80_Product_Tracking_Aerowin	80 產品追蹤進度表	80 产品追踪进度表	80 Product Tracking Schedule
i18n_ServCloud_90_Product_Daily_Aerowin	90 生產日報表	90 生产日报表	90 Production Daily Report
i18n_ServCloud_10_DailUtilization_Cosmos_Pony	10 日稼動率報表	10 日稼动率报表	01 Daily Utilization
i18n_ServCloud_70_Machine_Status_History_all_brand	70 機台歷史狀態查詢(all brand test)	70 机台历史状态查询(all brand test)	70 Machine Status History(all brand test)
i18n_ServCloud_70_Machine_Status_History_downtime_code	70 機台歷史狀態查詢(閒置原因)	70 机台历史状态查询(闲置原因)	70 Machine Status History(Downtime Code)


# 穎嘉閒置分析
i18n_ServCloud_DowntimeAnalysis	閒置時間分析	闲置时间分析	Downtime Analysis
i18n_ServCloud_DowntimeAnalysisEnzoy	閒置時間分析	闲置时间分析	Downtime Analysis
i18n_ServCloud_10_DowntimeAnalysis_Enzoy	機台閒置時間分析	机台闲置时间分析	Machine Downtime Analysis
i18n_ServCloud_20_DowntimeAnalysis_by_workorder_Enzoy	製令閒置分析	制令闲置分析	Work Order Downtime Analysis
i18n_ServCloud_30_IdleMacroEditor	Macro查詢(舊)	Macro查询(旧)	Macro Query (Old)
i18n_ServCloud_11_DowntimeAnalysis_MachineIdle	11 閒置時間分析	11 闲置时间分析	11 Downtime Analysis
i18n_ServCloud_11_DowntimeAnalysis_MachineIdle_Cosmos	11 閒置時間分析	11 闲置时间分析	11 Downtime Analysis
i18n_ServCloud_12_DowntimeAnalysis_OrderQuery	12 製令查詢	12 制令查询	12 Downtime Analysis - Order Query
i18n_ServCloud_13_DowntimeAnalysis_OrderIdle	13 製令閒置	13 制令闲置	13 Downtime Analysis - Order Idle
i18n_ServCloud_12_DowntimeAnalysis_MacroIdle_Cosmos	12 閒置代碼時間分析	12 闲置代码时间分析	12 Macro Downtime Analysis
i18n_ServCloud_14_Machine_Idle_All_Machine_Cosmos	14 閒置時間分析(所有機台)	14 闲置原因管理(所有机台)	14 Downtime Analysis(All Machine)
i18n_ServCloud_21_DowntimeAnalysis_MachineIdle_Webmacro	21 閒置時間分析(WebMacro)	21 闲置时间分析(WebMacro)	21 Downtime Analysis(WebMacro)
i18n_ServCloud_22_DowntimeAnalysis_MacroIdle_Cosmos_Webmacro	22 閒置代碼時間分析(WebMacro)	22 闲置代码时间分析(WebMacro)	22 Macro Downtime Analysis(WebMacro)
i18n_ServCloud_24_DowntimeAnalysis_MachineIdleAll_Webmacro	24 閒置時間分析(所有機台WebMacro)	24 闲置原因管理(所有机台WebMacro)	24 Downtime Analysis(All Machine Web Macro)
i18n_ServCloud_40_WorkMacroEditor	40 無效代碼輸入	40 無效代碼輸入	40 Downtime Macro Insert
i18n_ServCloud_50_Macro_Json_Edit	50 閒置原因管理	50 闲置原因管理	50 Downtime Reason Edit
i18n_ServCloud_51_Macro_Json_Edit_forCosmos	51 閒置原因管理	51 闲置原因管理	51 Downtime Reason Edit
i18n_ServCloud_60_Idle_Time_Setting	60 閒置時間設定	60 闲置时间设定	60 Idle time setting

# 管理
