	zh_tw	zh	en
i18n_ServCloud_CNC_Data_Server_0029	資料夾新增成功	资料夹新增成功	Create Folder is Success
i18n_ServCloud_CNC_Data_Server_0030	資料夾新增失敗	资料夹新增失败	Create Folder is Fail
i18n_ServCloud_CNC_Data_Server_0031	刪除以下檔案	删除以下档案	Delete Files
i18n_ServCloud_CNC_Data_Server_0032	刪除檔案成功	删除档案成功	Delte File is Success
i18n_ServCloud_CNC_Data_Server_0033	刪除檔案失敗	删除档案失败	Delete File is Fail
i18n_ServCloud_CNC_Data_Server_0034	日誌查詢條件	日志查询条件	Log Query Condition
i18n_ServCloud_CNC_Data_Server_0035	開始日期	开始日期	start Date
i18n_ServCloud_CNC_Data_Server_0036	結束日期	结束日期	End Date
i18n_ServCloud_CNC_Data_Server_0037	日誌查詢結果	日志查询结果	Log Query Result
i18n_ServCloud_CNC_Data_Server_0038	動作	动作	Action
i18n_ServCloud_CNC_Data_Server_0039	命令開始時間	命令开始时间	Command Start Time
i18n_ServCloud_CNC_Data_Server_0040	命令結束時間	命令结束时间	Command End Time
i18n_ServCloud_CNC_Data_Server_0041	執行結果	执行结果	Result
i18n_ServCloud_CNC_Data_Server_0042	操作電腦的IP	操作电脑的IP	Operating The Computer's IP
i18n_ServCloud_CNC_Data_Server_0043	上傳者	上传者	Uploaded By
i18n_ServCloud_CNC_Data_Server_0044	新增時間	新增时间	Add Time
