	zh_tw	zh	en
i18n_ServCloud_10_Emp_Performance	10_人員績效	10_人员绩效	10 Emp performance
i18n_ServCloud_20_Emp_Use	20_人員利用度	20_人员利用度	20 Emp use
i18n_ServCloud_30_Oee	30_總體稼動率	30_总体稼动率	30 Oee
i18n_ServCloud_40_Device_Use	40_設備利用度	40_设备利用度	40 Device use
i18n_ServCloud_50_Product_Quality	50_產品良率	50_产品良率	50 Product quality
i18n_ServCloud_60_Ng_Quality	60_不良原因分析	60_不良原因分析	60 Ng quality
i18n_ServCloud_70_Move_Record	70_進出站紀錄	70_进出站纪录	70 Move record
i18n_ServCloud_Kuo_Chuan_ServTrack	國全行動報工站	国全行动报工站	Kuo Chuan ServTrack
