	zh_tw	zh	en
i18n_ServCloud_ServTrackManagement_000076	單件標工(分)	单件标工(分)	Product cycle time per unit (minute)
i18n_ServCloud_ServTrackManagement_000077	可編輯	可编辑	Editable
i18n_ServCloud_ServTrackManagement_000078	取消	取消	Cancel
i18n_ServCloud_ServTrackManagement_000079	刪除工序	删除工序	Delete production process sequence
i18n_ServCloud_ServTrackManagement_000080	初始投入量	初始投入量	First input amount
i18n_ServCloud_ServTrackManagement_000081	說明	说明	Description
i18n_ServCloud_ServTrackManagement_000082	不可為0	不可为0	Not to be 0
i18n_ServCloud_ServTrackManagement_000083	超過最大授權數量，請先停用其它授權，再行授權	超过最大授权数量，请先停用其它授权，再行授权	Exceed the maximum license quantity, please disbale the license from other tablet before authorizing license to new tablet
i18n_ServCloud_ServTrackManagement_000084	啟用	启用	Activate
i18n_ServCloud_ServTrackManagement_000085	平板授權維護	平板授权维护	Tablet authorization maintain
i18n_ServCloud_ServTrackManagement_000086	平板授權	平板授权	Tablet authorization
i18n_ServCloud_ServTrackManagement_000087	平板名稱	平板名称	Tablet name
i18n_ServCloud_ServTrackManagement_000088	平板代碼	平板代码	Tablet code
i18n_ServCloud_ServTrackManagement_000089	可同時啟用授權數	可同时启用授权数	License quantity which can be authorized at the same time
i18n_ServCloud_ServTrackManagement_000090	不可為空	不可为空	Not to be empty
i18n_ServCloud_ServTrackManagement_000091	顯示Demo資料	显示Demo资料	Display demo data
i18n_ServCloud_ServTrackManagement_000092	請填產品編號	请填产品编号	Please input the product number
i18n_ServCloud_ServTrackManagement_000093	請填產品名稱	请填产品名称	Please input the product name
i18n_ServCloud_ServTrackManagement_000094	請填工序	请填工序	Please input the process sequence
i18n_ServCloud_ServTrackManagement_000095	說明	说明	Description
i18n_ServCloud_ServTrackManagement_000096	良率目標值(%)	良率目标值(%)	Target yield rate (%)
i18n_ServCloud_ServTrackManagement_000097	良率目標值	良率目标值	Target yield rate
i18n_ServCloud_ServTrackManagement_000098	良率目標(%)	良率目标(%)	Target yield rate (%)
i18n_ServCloud_ServTrackManagement_000099	產品編號重複	产品编号重复	Product number repeated
i18n_ServCloud_ServTrackManagement_000100	產品編號	产品编号	Product number
